Fecha,Hora,Edificio,Vivienda,Familia,Timestamp
19/09/2025,22:12:15,Vaitzman,Vivienda 4,pepe,2025-09-19 22:12:15.397000
19/09/2025,22:12:13,Vaitzman,Vivienda 4,pepe,2025-09-19 22:12:13.461000
19/09/2025,22:12:11,Vaitzman,Vivienda 4,pepe,2025-09-19 22:12:11.712000
19/09/2025,22:12:09,Vaitzman,Vivienda 4,pepe,2025-09-19 22:12:09.655000
19/09/2025,22:11:57,Vaitzman,Vivienda 2,Eve,2025-09-19 22:11:57.800000
19/09/2025,22:11:56,Vaitzman,Vivienda 2,Eve,2025-09-19 22:11:56.073000
19/09/2025,22:11:54,Vaitzman,Vivienda 2,Eve,2025-09-19 22:11:54.682000
19/09/2025,22:11:52,Vaitzman,Vivienda 2,Eve,2025-09-19 22:11:52.157000
19/09/2025,22:11:31,Vaitzman,Vivienda 2,Eve,2025-09-19 22:11:31.227000
19/09/2025,22:11:02,Vaitzman,Vivienda 1,fridman,2025-09-19 22:11:02.624000
19/09/2025,22:06:30,Vaitzman,Vivienda 2,Eve,2025-09-19 22:06:30.935000
19/09/2025,22:06:28,Vaitzman,Vivienda 1,fridman,2025-09-19 22:06:28.911000
19/09/2025,22:01:12,Vaitzman,Vivienda 5,juan,2025-09-19 22:01:12.211000
19/09/2025,22:01:04,Vaitzman,Vivienda 4,pepe,2025-09-19 22:01:04.097000
19/09/2025,21:53:50,Vaitzman,Vivienda 3,גל,2025-09-19 21:53:50.182000
19/09/2025,21:53:42,Vaitzman,Vivienda 2,Eve,2025-09-19 21:53:42.971000
19/09/2025,21:53:36,Vaitzman,Vivienda 1,fridman,2025-09-19 21:53:36.487000
